car_model,price,year_model,kms,color,fueltype
Renault Duster Oroch 2.0,$79.000.000,2020,90.000,Blanco,Gasolina y gas
Renault 05 Duster Oroch INTENS,$72.900.000,2020,54.998,Color not found,Gasolina
Renault Duster 1.3 Intense Cvt,$78.900.000,2022,27.794,Plateado,Gasolina
Renault Oroch 4x4 Outsider 1.3 Turbo 2025 Mq,$109.400.000,2025,0,Gris,Gasolina
Renault Duster 1.3 Intens At Como Nueva En Garantía La Mejor,$77.990.000,2023,17.427,Rojo,Gasolina
Renault Duster Turbo 4X4 2022 Outsider,$84.000.000,2022,59.000,Rojo,Gasolina
Renault Duster 1.3 Iconic Aut,$83.900.000,2024,16.500,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x4,$42.000.000,2013,217.000,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x4,$38.600.000,2015,375.000,Blanco,Gasolina y gas
Renault Duster Oroch Mt 1.3 Turbo 4*4 2023,$79.900.000,2023,31.000,Blanco,Gasolina
Duster Iconic Servicio Publico 1300t 2025 Sa,$104.757.480,2025,0,Blanco,Gasolina
Renault Duster 1.3 Intense Cvt,$82.900.000,2023,22.000,Rojo,Gasolina
Renault Duster 2.0 Dynamique 4x4,$64.700.000,2021,79.000,Plateado,Gasolina
Renault Duster 1.6 Expression Mecánica,$51.990.000,2017,91.000,Marrón,Gasolina
Renault Duster Oroch intens,$92.000.000,2023,34.568,Gris,Gasolina
Renault Duster 4x4 Full Equipo,$59.500.000,2021,37.000,Blanco,Gasolina
Renault Duster 1.3 T Iconic Cvt,$85.000.000,2023,5.570,Blanco,Gasolina
Renault Duster 1.3 T Iconic Cvt,$98.900.000,2024,0,Gris,Gasolina
Renault Duster 4x4 50 Aniversario Modelo 2021,$59.500.000,2021,37.000,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x2,$51.000.000,2017,122.000,Blanco,Gasolina
Renault Duster Oroch Outsider 4x4 2025 Mf,$108.300.000,2025,0,Gris,Gasolina
Renault Duster 1.6 Zen,$59.000.000,2021,50.200,Gris,Gasolina
Renault Duster Oroch 2.0 Intens,$109.600.000,2023,0,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x4,$56.900.000,2020,80.000,Plateado,Gasolina
Renault Duster 1.3 Intense Cvt,$83.800.000,2023,27.000,Gris,Gasolina
Renault Duster Oroch 2.0 Dynamique,$56.500.000,2017,67.000,Negro,Gasolina
Renault Duster 2.0 Dynamique 4x2,$46.500.000,2015,88.000,Negro,Gasolina
Renault Duster Oroch Automatica  2.0,$55.000.000,2019,160.000,Amarillo,Gasolina
Renault Duster 2.0 Dynamique 4x2,$48.990.000,2015,90.000,Gris,Gasolina
